data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6714611,356,IND68283,68283,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","CPI: Communist Party of India; CPI(ML): Communist Party of India (Marxist-Leninist); MCPI-U: Marxist Communist Party of India-United; RMP: Revolutionary Marxist Party",6,,,0,60,"Southern Asia",India,Punjab,Jalandhar,Jalandhar,Jalandhar,31.3255,75.5791,1,"Chandigarh Tribune",Subnational,"On Dec 19, protests were held by the Revolutionary Marxist Party of India (RMPI), the Communist Party of India (CPI), the Communist Party of India (ML) Liberation and the Marxist Communist Party of India (United in Jalandhar (Punjab) against the Citizenship (Amendment) Act, 2019 (CAA) in Jalandhar (Punjab). [size=no report]",0,1578514387,IND
6715635,356,IND68250,68250,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Students (India)",6,,,0,60,"Southern Asia",India,"Tamil Nadu",Vellore,Vaniyambadi,Vaniyambadi,12.6816,78.6201,1,"The Hindu",National,"On December 19, hundreds of students of Islamia College held a protest in Vaniyambadi town (Vellore, TN), against the Citizenship (Amendment) Act, 2019 (CAA) and National Register of Citizens (NRC). [size=hundreds]",0,1578514389,IND
6708724,422,LBN3223,3223,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,Akkar,Akkar,,Halba,34.5428,36.0797,1,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the main road in Halba. [size=no report]",0,1578503875,LBN
6709748,688,SRB1302,1302,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Serbia)",,6,,,0,60,Europe,Serbia,"Central Serbia",Nisava,,Nis,43.3234,21.9018,1,"Juzne Vesti",Subnational,"On 19 December, local residents protested construction of underground dustbins at a playground, preventing the workers from digging in Nis, Serbia [size=no report].",0,1578510534,SRB
6716404,760,SYR72994,72994,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Syria (2000-) Syrian Arab Air Force","Military Forces of Russia (2000-)",1,,,0,10,"Middle East",Syria,Idleb,"Al Ma'ra","Ma'arrat An Nu'man","Western Deir",35.5912,36.6851,1,Liveuamap,"Local partner-New media","On 19 December 2019, Syrian and Russian warplanes carried out airstrikes on Deir Gharbi in Idleb with neither fatalities nor injuries reported.",0,1578515226,SYR
6708725,422,LBN3225,3225,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,Akkar,Akkar,,Bebnine,34.4992,35.9931,2,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the Miniyeh-Aabdeh road at the Bebnine-Aabdeh roundabout. [size=no report]",0,1578503875,LBN
6713589,180,DRC16274,16274,"19 December 2019",2019,1,Battles,"Armed clash","Mayi Mayi Militia (Raia Mutomboki-Muteya)","Mayi Mayi Militia (Raia Mutomboki-Hamakombo)",3,"CNRD: National Council for Renewal and Democracy",,3,33,"Middle Africa","Democratic Republic of Congo",Sud-Kivu,Kalehe,Buhavu,Cifunzi,-2.3125,28.5897,1,"Kivu Security Tracker","Local partner-Other","On 19 December 2019, the Raia Mutomboki Lance Muteya, Bipopa and Hamakombo attacked CNRD fighters in a forest near Cifunzi village in Kalehe territory. Four CNRD fighters and one Raia Mutomboki Lance Muteya fighter were killed. One Raia Mutomboki Lance Muteya fighter was also wounded.",5,1578512391,COD
6714613,356,IND68278,68278,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","BKU: Bharatiya Kisan Union; Farmers (India)",6,,,0,60,"Southern Asia",India,Punjab,Bathinda,Bathinda,Bathinda,30.2108,74.9452,2,"Chandigarh Tribune",Subnational,"On Dec 18, protests were held for the second day by locals and BKU (Ekta Ugrahan) over alleged police inaction in a land encroachment case outside the Rampura (Sadar) police station near Bathinda (Punjab). [size=no report]",0,1578514387,IND
6715893,356,IND68220,68220,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","Muslim Group (India)",6,,,0,60,"Southern Asia",India,Maharashtra,Nashik,Malegaon,Malegaon,20.5496,74.5346,1,"Times of India",National,"On 19 December, Muslim outfits held a protest in Malegaon (Nashik, Maharashtra) against the Citizenship (Amendment) Act, 2019 (CAA) and the National Register of Citizens (NRC). [size=no report]",0,1578514390,IND
6708216,368,IRQ22578,22578,"19 December 2019",2019,1,"Strategic developments",Arrests,"Military Forces of United States",,8,"Military Forces of Iraq (2018-) Popular Mobilization Forces",,1,18,"Middle East",Iraq,Anbar,Hit,,"Al Baghdadi",33.8514,42.5487,1,"Al Maloomah",National,"Arrests: On Dec 19, US forces carried out an air-drop operation that involved arresting a senior leader in the Anbar PMF in al Baghdadi in Hit district, giving no reasons as to the motive behind the arrest.",0,1578503874,IRQ
6708728,422,LBN3229,3229,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,"Mount Lebanon",Chouf,,Jiyeh,33.6701,35.4253,1,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the coastal highway in Jiyeh. [size=no report]",0,1578503875,LBN
6713080,566,NIG15909,15909,"19 December 2019",2019,1,"Violence against civilians",Attack,"Usumotong Communal Militia (Nigeria)",,4,"Civilians (Nigeria)","Ebom Communal Group (Nigeria)",7,47,"Western Africa",Nigeria,"Cross River",Abi,,Ebom,5.85,7.9667,1,"Vanguard (Nigeria); Sun (Nigeria); Daily Trust (Nigeria)",National,"On 19 December 2019, militias from Usumutong attacked Ebom village as part of a long-lasting dispute between both communities. Reports on fatalities range from 8 to 24. Fatalities coded as 8.",8,1578512390,NGA
6714360,586,PAK55152,55152,"19 December 2019",2019,1,"Explosions/Remote violence","Suicide bomb","Unidentified Armed Group (Pakistan)",,3,"Civilians (Pakistan)",,7,37,"Southern Asia",Pakistan,"Khyber Pakhtunkhwa","Lakki Marwat","Sarai Naurang","Sarai Naurang",32.8272,70.7749,2,"Dawn (Pakistan); Tribal News Network",Subnational-National,"On December 19, a suicide bomber aiming to target a polio vaccination team reportedly detonated his bomb prematurely in Hathi Khan Killay near Serai Naurang (Lakki Marwat, KP) injuring a passerby. The vaccination team remained safe around three kilometres away from the blast site.",1,1578514386,PAK
6714616,356,IND68272,68272,"19 December 2019",2019,1,Protests,"Protest with intervention","Protesters (India)","Students (India)",6,"Police Forces of India (2014-)",,1,16,"Southern Asia",India,"NCT of Delhi","New Delhi",,"Delhi-New Delhi",28.6357,77.2244,1,"Chandigarh Tribune",Subnational,"On Dec 19, protests were held in Delhi over the Citizenship (Amendment) Act, 2019 (CAA). The protest from Mandi house and Red fort were expected to merge but police detained many protesters. Others moved to Jantar Mantar. [size=no report]",0,1578514387,IND
6716664,760,SYR72974,72974,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Syria (2000-) Syrian Arab Air Force","Allied Syrian and/or Russian Forces",1,,,0,10,"Middle East",Syria,Idleb,"Al Ma'ra",Heish,"Abu Habbeh",35.5307,36.7753,1,SOHR,Other,"On 19 December 2019, allied Syrian or Russian warplanes carried out airstrikes on Abu Habbeh in Idleb amid regime barrel bomb deployment with neither fatalities nor injuries reported.",0,1578515227,SYR
6715129,356,IND68210,68210,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","CPI(ML): Communist Party of India (Marxist-Leninist)",6,,,0,60,"Southern Asia",India,Bihar,Jehanabad,Jehanabad,Jehanabad,25.2139,84.9895,1,"Hindustan Times",National,"On 19 December, CPI (ML) activists staged a road block on Kako More, disrupting traffic on NH 110 and 83, in Jehanabad (Jehanabad, Bihar) in protest against the Citizenship (Amendment) Act, 2019 (CAA). [size=no report]",0,1578514388,IND
6716665,760,SYR72977,72977,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Syria (2000-) Syrian Arab Air Force",,1,,,0,10,"Middle East",Syria,Idleb,Idleb,Idleb,Idleb,35.929,36.6353,3,SOHR,Other,"On 19 December 2019, regime helicopters deployed barrel bombs on Karana in Idleb amid regime barrel bomb deployment with neither fatalities nor injuries reported.",0,1578515227,SYR
6714874,586,PAK55159,55159,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","TSH: Tehreek-e-Suba Hazara",6,,,0,60,"Southern Asia",Pakistan,"Khyber Pakhtunkhwa",Mansehra,Mansehra,Mansehra,34.3355,73.2026,1,"Dawn (Pakistan)",National,"On December 19, activists of the Tehreek-i-Inqelab and Sooba Hazara Tehreek protested and blocked the Karakoram Highway at Mutrain Bypass Road in Mansehra city (Mansehra, KP) against the verdict of a special court to hand former Pakistan President and military ruler General (retd) Pervez Musharraf death sentence in high treason case. [size=no report]",0,1578514388,PAK
